34.24714408,108.89871431,34.24714800,108.89881300,30.8,0.3,0,100
34.24714492,108.89871698,34.24714800,108.89881300,44.7,0.3,0,-36
34.24714492,108.89871698,34.24714800,108.89881300,58.4,0.3,0,-9
34.24714441,108.89871948,34.24714800,108.89881300,68.9,0.3,0,27
34.24714441,108.89871948,34.24714800,108.89881300,75.8,0.3,0,-32
34.24714375,108.89872015,34.24714800,108.89881300,81.7,0.0,0,-31
34.24714375,108.89872015,34.24714800,108.89881300,85.2,0.0,0,0
34.24714375,108.89871981,34.24714800,108.89881300,86.7,0.1,97,-1
34.24714375,108.89871981,34.24714800,108.89881300,88.1,0.1,97,1
34.24714441,108.89871965,34.24714800,108.89881300,89.3,0.1,94,0
34.24714441,108.89871965,34.24714800,108.89881300,89.9,0.1,92,-1
34.24714491,108.89872515,34.24714800,108.89881300,91.2,0.9,89,-1
34.24714491,108.89872515,34.24714800,108.89881300,91.8,0.9,87,-3
34.24714474,108.89873865,34.24714800,108.89881300,91.6,1.3,85,-3
34.24714474,108.89873865,34.24714800,108.89881300,90.8,1.3,88,-2
34.24714440,108.89875266,34.24714800,108.89881300,90.5,1.3,85,-2
34.24714440,108.89875266,34.24714800,108.89881300,89.6,1.3,88,-2
34.24714407,108.89876666,34.24714800,108.89881300,88.8,1.3,85,-3
34.24714407,108.89876666,34.24714800,108.89881300,88.0,1.3,88,-2
34.24714423,108.89878049,34.24714800,108.89881300,87.1,1.3,82,-4
34.24714423,108.89878049,34.24714800,108.89881300,86.0,1.3,87,-2
34.24714489,108.89879450,34.24717329,108.89893570,85.0,1.3,64,-10
34.24714672,108.89881767,34.24717329,108.89893570,82.7,0.7,0,-30
34.24714672,108.89881767,34.24717329,108.89893570,83.0,0.7,0,-30
34.24714688,108.89882184,34.24717329,108.89893570,83.5,0.3,0,-30
34.24714688,108.89882184,34.24717329,108.89893570,83.0,0.3,0,-30
34.24714688,108.89882434,34.24717329,108.89893570,81.5,0.2,0,30
34.24714688,108.89882434,34.24717329,108.89893570,79.1,0.2,0,0
34.24714738,108.89882684,34.24717329,108.89893570,77.7,0.3,95,0
34.24714738,108.89882684,34.24717329,108.89893570,76.5,0.3,99,1
34.24714771,108.89882934,34.24717329,108.89893570,75.3,0.2,96,0
34.24714771,108.89882934,34.24717329,108.89893570,74.7,0.2,94,0
34.24714938,108.89883701,34.24717329,108.89893570,73.7,1.0,91,1
34.24714938,108.89883701,34.24717329,108.89893570,73.1,1.0,89,2
34.24715271,108.89885084,34.24717329,108.89893570,72.9,1.3,89,3
34.24715271,108.89885084,34.24717329,108.89893570,72.6,1.3,88,3
34.24715621,108.89886451,34.24717329,108.89893570,73.1,1.3,89,3
34.24715621,108.89886451,34.24717329,108.89893570,73.2,1.3,89,3
34.24715954,108.89887768,34.24717329,108.89893570,73.3,1.3,89,3
34.24715954,108.89887768,34.24717329,108.89893570,73.2,1.3,89,3
34.24716287,108.89889119,34.24717329,108.89893570,73.2,1.3,88,3
34.24716287,108.89889119,34.24717329,108.89893570,73.1,1.3,87,3
34.24716636,108.89890502,34.24717329,108.89893570,73.0,1.3,84,4
34.24716636,108.89890502,34.24710746,108.89880793,72.9,1.3,84,5
34.24717269,108.89893003,34.24710746,108.89880793,73.4,1.0,0,100
34.24717419,108.89893637,34.24710746,108.89880793,75.3,0.5,0,100
34.24717419,108.89893637,34.24710746,108.89880793,79.5,0.5,0,100
34.24717386,108.89893787,34.24710746,108.89880793,84.3,0.1,0,100
34.24717386,108.89893787,34.24710746,108.89880793,91.9,0.1,0,100
34.24717252,108.89893587,34.24710746,108.89880793,102.9,0.2,0,100
34.24717252,108.89893587,34.24710746,108.89880793,114.6,0.2,0,100
34.24717086,108.89893637,34.24710746,108.89880793,126.7,0.2,0,100
34.24717086,108.89893637,34.24710746,108.89880793,138.9,0.2,0,100
34.24716919,108.89893703,34.24710746,108.89880793,150.0,0.2,0,100
34.24716919,108.89893703,34.24710746,108.89880793,161.9,0.2,0,100
34.24716752,108.89893703,34.24710746,108.89880793,173.9,0.2,0,100
34.24716752,108.89893703,34.24710746,108.89880793,185.3,0.2,0,100
34.24716602,108.89893620,34.24710746,108.89880793,197.7,0.2,0,-13
34.24716602,108.89893620,34.24710746,108.89880793,210.0,0.2,0,0
34.24716535,108.89893436,34.24710746,108.89880793,219.6,0.2,18,13
34.24716535,108.89893436,34.24710746,108.89880793,227.3,0.2,42,8
34.24716552,108.89893370,34.24710746,108.89880793,233.8,0.0,64,1
34.24716552,108.89893370,34.24710746,108.89880793,240.1,0.0,84,-4
34.24716469,108.89893170,34.24710746,108.89880793,244.7,0.4,99,-5
34.24716469,108.89893170,34.24710746,108.89880793,247.4,0.4,91,0
34.24716152,108.89892286,34.24710746,108.89880793,248.4,1.1,87,-3
34.24716152,108.89892286,34.24710746,108.89880793,248.2,1.1,87,-2
34.24715736,108.89891053,34.24710746,108.89880793,247.6,1.2,87,-3
34.24715736,108.89891053,34.24710746,108.89880793,246.6,1.2,90,-1
34.24715286,108.89889836,34.24710746,108.89880793,247.8,1.2,83,-4
34.24715286,108.89889836,34.24710746,108.89880793,246.9,1.2,86,-2
34.24714803,108.89888602,34.24710746,108.89880793,245.9,1.2,87,-3
34.24714803,108.89888602,34.24710746,108.89880793,244.9,1.2,90,-1
34.24714253,108.89887402,34.24710746,108.89880793,243.8,1.3,91,-1
34.24714253,108.89887402,34.24710746,108.89880793,242.9,1.3,94,0
34.24713670,108.89886168,34.24710746,108.89880793,241.9,1.3,95,0
